募集回,募集区分,区市町,住宅名,募集戸数,建築年度,エレベーター,入居人数
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小金井市,小金井東町一丁目,1,昭和61,無,３人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,府中市,府中南町,2,平成2,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,府中市,紅葉丘三丁目,1,昭和62,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,日野市,日野大坂上三丁目,1,平成6,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,昭島市,松原町一丁目第２,1,昭和63,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,昭島市,美堀町二丁目,2,平成10,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,杉並区,井草四丁目第２,1,昭和60,無,３人以上
令和4年11月,居室内で病死等があった住宅,杉並区,堀の内三丁目,1,昭和44,有,２人以上
令和4年11月,居室内で病死等があった住宅,杉並区,堀の内三丁目,1,昭和44,有,２人以上
令和4年11月,世帯向（一般募集住宅）,東久留米市,東久留米幸町一丁目,2,平成11,有,３人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,東久留米市,東久留米氷川台一丁目,1,平成7,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,東大和市,東大和桜が丘三丁目,1,昭和60,無,２人以上
令和4年11月,居室内で病死等があった住宅,東大和市,東大和桜が丘三丁目,1,昭和60,無,２人以上
令和4年11月,世帯向（一般募集住宅）,東村山市,美住町一丁目第２,5,平成11,有,２人以上
令和4年11月,世帯向（一般募集住宅）,東村山市,美住町一丁目第２,2,昭和61,無,２人以上
令和4年11月,世帯向（一般募集住宅）,東村山市,美住町一丁目第３,2,平成8,有,２人以上
令和4年11月,居室内で病死等があった住宅,板橋区,坂下一丁目,1,昭和46,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,板橋区,坂下一丁目第５,2,昭和58,無,３人以上
令和4年11月,居室内で病死等があった住宅,板橋区,成増五丁目第２,1,平成19,有,２人以上
令和4年11月,世帯向（一般募集住宅）,板橋区,赤塚六丁目,1,昭和63,無,３人以上
